song,artist
downtown,"macklemore & ryan lewis featuring eric nally, melle mel, kool moe dee & grandmaster caz"
house party,sam hunt
ayo,chris brown & tyga
kick the dust up,luke bryan
blessings,big sean featuring drake
budapest,george ezra
chandelier,sia
heartbeat song,kelly clarkson
don't,ed sheeran
ghost,ella henderson
here,alessia cara
waves,mr. probz
el perdon (forgiveness),nicky jam & enrique iglesias
she knows,ne-yo featuring juicy j
night changes,one direction
back to back,drake
how deep is your love,calvin harris & disciples
love yourself,justin bieber
sorry,justin bieber
one dance,drake featuring wizkid & kyla
work,rihanna featuring drake
stressed out,twenty one pilots
panda,desiigner
hello,adele
don't let me down,the chainsmokers featuring daya
can't stop the feeling!,justin timberlake
closer,the chainsmokers featuring halsey
cheap thrills,sia featuring sean paul
7 years,lukas graham
needed me,rihanna
my house,flo rida
i took a pill in ibiza,mike posner
work from home,fifth harmony featuring ty dolla $ign
this is what you came for,calvin harris featuring rihanna
cake by the ocean,dnce
"me, myself & i",g-eazy x bebe rexha
ride,twenty one pilots
heathens,twenty one pilots
pillowtalk,zayn
stitches,shawn mendes
hotline bling,drake
cold water,major lazer featuring justin bieber & mo
send my love (to your new lover),adele
roses,the chainsmokers featuring rozes
treat you better,shawn mendes
too good,drake featuring rihanna
low life,future featuring the weeknd
what do you mean?,justin bieber
the hills,the weeknd
just like fire,p!nk
broccoli,d.r.a.m. featuring lil yachty
don't,bryson tiller
dangerous woman,ariana grande
jumpman,drake & future
i hate u i love u,gnash featuring olivia o'brien
here,alessia cara
same old love,selena gomez
controlla,drake
like i'm gonna lose you,meghan trainor featuring john legend
one call away,charlie puth
let it go,james bay
no,meghan trainor
never forget you,zara larsson & mnek
let me love you,dj snake featuring justin bieber
don't mind,kent jones
h.o.l.y.,florida georgia line
we don't talk anymore, charlie puth featuring selena gomez
into you,ariana grande
gold,kiiara
exchange,bryson tiller 
679,fetty wap featuring remy boyz
oui,jeremih
hands to myself,selena gomez
2 phones,kevin gates
starboy,the weeknd featuring daft punk
for free,dj khaled featuring drake
never be like you,flume featuring kai
in the night,the weeknd
me too,meghan trainor
ex's & oh's,elle king
die a happy man,thomas rhett
white iverson,post malone
close,nick jonas featuring tove lo
unsteady,x ambassadors
sucker for pain,"lil wayne, wiz khalifa & imagine dragons with logic & ty dolla $ign feat. x ambassadors"
down in the dm,yo gotti featuring nicki minaj
luv,tory lanez
sorry,beyonce
can't feel my face,the weeknd
hymn for the weekend,coldplay
say it,tory lanez
antidote,travis scott
lost boy,ruth b
side to side,ariana grande featuring nicki minaj
"sit still, look pretty",daya
wildest dreams,taylor swift
middle,dj snake featuring bipolar sunshine
on my mind,ellie goulding
pop style,drake featuring the throne
when we were young,adele
hide away,daya
lean on,major lazer & dj snake featuring mo
i know what you did last summer,shawn mendes & camila cabello
watch me,silento
back to sleep,chris brown
no limit,usher featuring young thug
cut it,o.t. genasis featuring young dolph
really really,kevin gates
all in my head (flex),fifth harmony featuring fetty wap
starving,hailee steinfeld & grey featuring zedd
adventure of a lifetime,coldplay
humble and kind,tim mcgraw
wicked,future
tiimmy turner,desiigner
see you again,wiz khalifa featuring charlie puth
perfect,one direction
shape of you,ed sheeran
despacito,luis fonsi & daddy yankee featuring justin bieber
that's what i like,bruno mars
humble.,kendrick lamar
something just like this,the chainsmokers & coldplay
bad and boujee,migos featuring lil uzi vert
closer,the chainsmokers featuring halsey
body like a back road,sam hunt
believer,imagine dragons
congratulations,post malone featuring quavo
say you won't let go,james arthur
i'm the one,"dj khaled featuring justin bieber, quavo, chance the rapper & lil wayne"
xo tour llif3,lil uzi vert
mask off,future
unforgettable,french montana featuring swae lee
24k magic,bruno mars
stay,zedd & alessia cara
wild thoughts,dj khaled featuring rihanna & bryson tiller
black beatles,rae sremmurd featuring gucci mane
starboy,the weeknd featuring daft punk
location,khalid
attention,charlie puth
there's nothing holdin' me back,shawn mendes
bodak yellow (money moves),cardi b
redbone,childish gambino
i don't wanna live forever (fifty shades darker),zayn / taylor swift
it ain't me,kygo x selena gomez
ispy,kyle featuring lil yachty
issues,julia michaels
scars to your beautiful,alessia cara
1-800-273-8255,logic featuring alessia cara & khalid
slow hands,niall horan
love on the brain,rihanna
i feel it coming,the weeknd featuring daft punk
bounce back,big sean
strip that down,liam payne featuring quavo
fake love,drake
don't wanna know,maroon 5 featuring kendrick lamar
look what you made me do,taylor swift
castle on the hill,ed sheeran
bad things,machine gun kelly x camila cabello
paris,the chainsmokers
side to side,ariana grande featuring nicki minaj
rockabye,clean bandit featuring sean paul & anne-marie
feel it still,portugal. the man
let me love you,dj snake featuring justin bieber
sorry not sorry,demi lovato
bank account,21 savage
can't stop the feeling!,justin timberlake
mi gente,j balvin & willy william featuring beyonce
thunder,imagine dragons
t-shirt,migos
rake it up,yo gotti featuring nicki minaj
mercy,shawn mendes
tunnel vision,kodak black
rockstar,post malone featuring 21 savage
in case you didn't know,brett young
heathens,twenty one pilots
now or never,halsey
caroline,amine
rolex,ayo & teo
dna.,kendrick lamar
juju on that beat (tz anthem),zay hilfigerrr & zayion mccall
swang,rae sremmurd
passionfruit,drake
loyalty.,kendrick lamar featuring rihanna
praying,kesha
goosebumps,travis scott
cold,maroon 5 featuring future
broccoli,d.r.a.m. featuring lil yachty 
slide,calvin harris featuring frank ocean & migos
what ifs,kane brown featuring lauren alaina
chained to the rhythm,katy perry featuring skip marley
feels,"calvin harris featuring pharrell williams, katy perry & big sean"
all time low,jon bellion
hurricane,luke combs
too good at goodbyes,sam smith
young dumb & broke,khalid
magnolia,playboi carti
love galore,sza featuring travis scott
drowning,a boogie wit da hoodie featuring kodak black
starving,hailee steinfeld & grey featuring zedd
both,gucci mane featuring drake
what about us,p!nk 
swalla,jason derulo featuring nicki minaj & ty dolla $ign
slippery,migos featuring gucci mane
sign of the times,harry styles
water under the bridge,adele
malibu,miley cyrus
down,marian hill
no promises,cheat codes featuring demi lovato
treat you better,shawn mendes
i get the bag,gucci mane featuring migos
small town boy,dustin lynch
everyday we lit,yfn lucci featuring pnb rock
havana,camila cabello featuring young thug
what lovers do,maroon 5 featuring sza
do re mi,blackbear
look at me!,xxxtentacion
the fighter,keith urban featuring carrie underwood
god's plan,drake
perfect,ed sheeran
meant to be,bebe rexha & florida georgia line
havana,camila cabello featuring young thug
rockstar,post malone featuring 21 savage
psycho,post malone featuring ty dolla $ign
i like it,"cardi b, bad bunny & j balvin"
the middle,"zedd, maren morris & grey"
in my feelings,drake
girls like you,maroon 5 featuring cardi b
nice for what,drake
lucid dreams,juice wrld
better now,post malone
finesse,bruno mars & cardi b
boo'd up,ella mai
new rules,dua lipa
sad!,xxxtentacion
never be the same,camila cabello
love lies,khalid & normani
no tears left to cry,ariana grande
mine,bazzi
thunder,imagine dragons
look alive,blocboy jb featuring drake
delicate,taylor swift
yes indeed,lil baby & drake
friends,marshmello & anne-marie
bad at love,halsey
taste,tyga featuring offset
let you down,nf
no limit,g-eazy featuring a$ap rocky & cardi b
fefe,6ix9ine featuring nicki minaj & murda beatz
tequila,dan + shay
feel it still,portugal. the man
motorsport,"migos, nicki minaj & cardi b"
i like me better,lauv
youngblood,5 seconds of summer
whatever it takes,imagine dragons
ric flair drip,offset & metro boomin
i fall apart,post malone
pray for me,the weeknd & kendrick lamar
back to you,selena gomez
sicko mode,travis scott
walk it talk it,migos featuring drake
gucci gang,lil pump
him & i,g-eazy & halsey
in my blood,shawn mendes
all the stars,kendrick lamar & sza
stir fry,migos
too good at goodbyes,sam smith
love.,kendrick lamar featuring zacari
this is america,childish gambino
nonstop,drake
heaven,kane brown
bodak yellow (money moves),cardi b
freaky friday,lil dicky featuring chris brown
gummo,6ix9ine
plug walk,rich the kid
wait,maroon 5
be careful,cardi b
wolves,selena gomez x marshmello
bartier cardi,cardi b featuring 21 savage
god is a woman,ariana grande
big bank,"yg featuring 2 chainz, big sean & nicki minaj"
sorry not sorry,demi lovato
how long,charlie puth
lights down low,max featuring gnash
young dumb & broke,khalid
one kiss,calvin harris & dua lipa
natural,imagine dragons
you make it easy,jason aldean
shape of you,ed sheeran
i get the bag,gucci mane featuring migos
no brainer,"dj khaled featuring justin bieber, chance the rapper & quavo"
plain jane,a$ap ferg featuring nicki minaj
sky walker,miguel featuring travis scott
marry me,thomas rhett
eastside,"benny blanco, halsey & khalid"
call out my name,the weeknd
king's dead,"jay rock, kendrick lamar, future & james blake"
happier,marshmello & bastille
te bote,"casper magico, nio garcia, darell, nicky jam, ozuna & bad bunny"
simple,florida georgia line
lemon,n*e*r*d & rihanna
1-800-273-8255,logic featuring alessia cara & khalid
say something,justin timberlake featuring chris stapleton
i'm upset,drake
get along,kenny chesney
moonlight,xxxtentacion
what lovers do,maroon 5 featuring sza
x,nicky jam x j balvin
outside today,youngboy never broke again
trip,ella mai
dura,daddy yankee
changes,xxxtentacion
mercy,brett young
one number away,luke combs
powerglide,rae sremmurd & juicy j
idgaf,dua lipa
mi gente,j balvin & willy william featuring beyonce
believer,imagine dragons
old town road,lil nas x featuring billy ray cyrus
sunflower (spider-man: into the spider-verse),post malone & swae lee
without me,halsey
bad guy,billie eilish
wow.,post malone
happier,marshmello & bastille
7 rings,ariana grande
talk,khalid
sicko mode,travis scott
sucker ,jonas brothers
high hopes,panic! at the disco
"thank u, next",ariana grande
truth hurts,lizzo
dancing with a stranger,sam smith & normani
senorita,shawn mendes & camila cabello
i don't care,ed sheeran & justin bieber
eastside,"benny blanco, halsey & khalid"
going bad,meek mill featuring drake
shallow,lady gaga & bradley cooper
better,khalid
no guidance,chris brown featuring drake
girls like you,maroon 5 featuring cardi b
sweet but psycho,ava max
suge,dababy
middle child,j. cole
drip too hard,lil baby & gunna
someone you loved,lewis capaldi
ran$om,lil tecca
if i can't have you,shawn mendes
goodbyes,post malone featuring young thug
zeze,kodak black featuring travis scott & offset
better now,post malone
youngblood,5 seconds of summer
money in the grave,drake featuring rick ross
speechless,dan + shay
"break up with your girlfriend, i'm bored",ariana grande
please me,cardi b & bruno mars
money,cardi b
you need to calm down, taylor swift
panini,lil nas x
look back at it,a boogie wit da hoodie
 a lot,21 savage
me!,taylor swift featuring brendon urie
mia,bad bunny featuring drake
pop out,polo g featuring lil tjay
beautiful crazy,luke combs
thotiana,blueface
lucid dreams,juice wrld
mo bamba,sheck wes
beautiful people,ed sheeran featuring khalid
wake up in the sky,gucci mane x bruno mars x kodak black
whiskey glasses,morgan wallen
god's country,blake shelton
be alright,dean lewis
pure water,mustard & migos
the git up,blanco brown
taki taki,"dj snake featuring selena gomez, ozuna & cardi b"
close to me,ellie goulding x diplo featuring swae lee
envy me,calboy
you say,lauren daigle
"hey look ma, i made it",panic! at the disco
circles,post malone
beer never broke my heart,luke combs
the london,"young thug, j. cole & travis scott"
con calma ,daddy yankee & katy perry featuring snow
murder on my mind,ynw melly
when the party's over,billie eilish
act up,city girls
i like it,"cardi b, bad bunny & j balvin"
trampoline,shaed
leave me alone,flipp dinero
breathin,ariana grande
bury a friend,billie eilish
close friends,lil baby
baby shark,pinkfong
my type,saweetie
worth it,yk osiris
only human,jonas brothers
knockin' boots,luke bryan
trip,ella mai
rumor,lee brice
swervin,a boogie wit da hoodie featuring 6ix9ine
how do you sleep?,sam smith
baby,lil baby & dababy
look what god gave her,thomas rhett
good as you,kane brown
clout,offset featuring cardi b
love lies,khalid & normani
one thing right,marshmello & kane brown
cash shit,megan thee stallion featuring dababy
tequila,dan + shay
shotta flow,nle choppa
hot girl summer,"megan thee stallion, nicki minaj & ty dolla $ign"
talk you out of it,florida georgia line
beautiful,bazzi featuring camila cabello
eyes on you,chase rice
all to myself,dan + shay
boyfriend,ariana grande & social house
walk me home,p!nk
robbery,juice wrld
blinding lights,the weeknd
circles,post malone
the box,roddy ricch
don't start now,dua lipa
rockstar,dababy featuring roddy ricch
adore you,harry styles
life is good,future featuring drake
memories,maroon 5
the bones,maren morris
someone you loved,lewis capaldi
say so,doja cat
i hope,gabby barrett featuring charlie puth
whats poppin,"jack harlow featuring dababy, tory lanez & lil wayne"
dance monkey,tones and i
savage,megan thee stallion
roxanne,arizona zervas
intentions,justin bieber featuring quavo
everything i wanted,billie eilish
roses,saint jhn
watermelon sugar,harry styles
before you go,lewis capaldi
falling,trevor daniel
"10,000 hours",dan + shay & justin bieber
wap,cardi b featuring megan thee stallion
ballin',mustard & roddy ricch
hot girl bummer,blackbear
blueberry faygo,lil mosey
heartless,the weeknd
bop,dababy
lose you to love me,selena gomez
good as hell,lizzo
toosie slide,drake
break my heart,dua lipa
chasin' you,morgan wallen
savage love (laxed - siren beat),jawsh 685 x jason derulo
no guidance,chris brown featuring drake
my oh my,camila cabello featuring dababy
dynamite,bts
go crazy,chris brown & young thug
high fashion,roddy ricch featuring mustard
laugh now cry later,drake featuring lil durk
woah,lil baby
death bed,powfu featuring beabadoobee
senorita,shawn mendes & camila cabello
highest in the room,travis scott
bad guy,billie eilish
mood,24kgoldn featuring iann dior
rain on me,lady gaga & ariana grande
for the night,pop smoke featuring lil baby & dababy
ritmo (bad boys for life),black eyed peas x j balvin
heart on ice,rod wave
nobody but you,blake shelton duet with gwen stefani
trampoline,shaed
come & go,juice wrld x marshmello
truth hurts,lizzo
if the world was ending,jp saxe featuring julia michaels
we paid,lil baby & 42 dugg
yummy,justin bieber
one man band,old dominion
got what i got,jason aldean
sunday best,surfaces
godzilla,eminem featuring juice wrld
bandit,juice wrld & youngboy never broke again
party girl,staysolidrocky
die from a broken heart,maddie & tae
popstar,dj khaled featuring drake
all i want for christmas is you,mariah carey
one of them girls,lee brice
hard to forget,sam hunt
one margarita,luke bryan
panini,lil nas x
hot,young thug featuring gunna
i hope you're happy now,carly pearce & lee brice
emotionally scarred,lil baby
suicidal,ynw melly & juice wrld
the bigger picture,lil baby
only human,jonas brothers
the woo,pop smoke featuring 50 cent & roddy ricch
sum 2 prove,lil baby
stuck with u,ariana grande & justin bieber 
mood swings,pop smoke featuring lil tjay
you should be sad,halsey
dior,pop smoke
supalonely,benee featuring gus dapperton
even though i'm leaving,luke combs
the scotts,"the scotts, travis scott & kid cudi"
juicy,doja cat & tyga
be like that,kane brown with swae lee & khalid
homesick,kane brown
rags2riches,rod wave featuring atr son son
bluebird,miranda lambert
wishing well,juice wrld
does to me,luke combs featuring eric church
p*$$y fairy (otw),jhene aiko
ily,surf mesa featuring emilee
more than my hometown,morgan wallen
lovin' on you,luke combs
said sum,moneybagg yo
slide,h.e.r. featuring yg
walk em down,nle choppa featuring roddy ricch
way 2 sexy,way 2 sexy
girls want girls,girls want girls
fair trade,fair trade
champagne poetry,champagne poetry
knife talk,knife talk
stay,stay
in the bible,in the bible
papi's home,papi's home
tsu,tsu
love all,love all
no friends in the industry,no friends in the industry
n 2 deep,n 2 deep
bad habits,bad habits
pipe down,pipe down
good 4 u,good 4 u
7am on bridle path,7am on bridle path
butter,butter
race my mind,race my mind
kiss me more,kiss me more
industry baby,industry baby
fancy like,fancy like
imy2,imy2
levitating,levitating
yebba's heartbreak,yebba's heartbreak
you only live twice,you only live twice
fountains,fountains
get along better,get along better
save your tears,save your tears
hurricane,hurricane
montero (call me by your name),montero (call me by your name)
deja vu,deja vu
fucking fans,fucking fans
heat waves,heat waves
essence,essence
the remorse,the remorse
you right,you right
take my breath,take my breath
need to know,need to know
beggin',beggin'
leave before you love me,leave before you love me
off the grid,off the grid
happier than ever,happier than ever
if i didn't love you,if i didn't love you
family ties,family ties
pepas,pepas
leave the door open,leave the door open
peaches,peaches
waves,waves
traitor,traitor
moon,moon
things a man oughta know,things a man oughta know
country again,country again
chasing after you,chasing after you
arcade,arcade
rumors,rumors
cold beer calling my name,cold beer calling my name
thot shit,thot shit
jail,jail
late at night,late at night
a-o-k,a-o-k
i was on a boat that day,i was on a boat that day
wockesha,wockesha
sharing locations,sharing locations
every chance i get,every chance i get
ok ok,ok ok
praise god,praise god
skate,skate
whole lotta money,whole lotta money
love again,love again
memory i don't mess with,memory i don't mess with
drinkin' beer. talkin' god. amen.,drinkin' beer. talkin' god. amen.
you time,you time
todo de ti,todo de ti
buy dirt,buy dirt
2055,2055
cold as you,cold as you
volvi,volvi
junya,junya
drunk (and i don't wanna go home),drunk (and i don't wanna go home)
woman,woman
we didn't have much,we didn't have much
gyalis,gyalis
wild side,wild side
yonaguni,yonaguni
believe what i say,believe what i say
memory,memory
blue note$ ii,blue note$ ii
get into it (yuh),get into it (yuh)
my boy,my boy
single saturday night,single saturday night
jonah,jonah
you should probably leave,you should probably leave
don't go yet,don't go yet
thinking 'bout you,thinking 'bout you
jesus lord,jesus lord
summer of love,summer of love
ain't shit,ain't shit
motley crew,motley crew
remote control,remote control
baddest,baddest
